Guest OS Analysis for Google Demo Customer
,
Applied Filters
None
,
Table Data
VM Name,Tags,Severity,VM State,Guest OS,End of Support,32/64 bits,vCPU,vRAM (GB),Tools Installed
VM-140371,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1406570,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1406658,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1428099,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,10,36.00,Installed
VM-1429567,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,10,64.00,Installed
VM-1432840,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,0.25,Installed
VM-1451056,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,1.00,Installed
VM-1454037,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,2.00,Installed
VM-1454057,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,8.00,Installed
VM-1454238,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,2.00,Installed
VM-1454305,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,8.00,Installed
VM-1454306,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,8.00,Installed
VM-1454307,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,8.00,Installed
VM-1454310,PoweredOn,Normal,Powered On,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,2,8.00,Installed
VM-1455663,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,40.00,Installed
VM-1455665,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,10,96.00,Installed
VM-1464285,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,2.00,Installed
VM-1471027,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1481532,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1485235,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,40.00,Installed
VM-1486025,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,8,16.00,Installed
VM-1493143,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1495798,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,4,16.00,Installed
VM-1495799,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1515093,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,8.00,Installed
VM-1518278,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-15196,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-1526576,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1540021,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,76.00,Installed
VM-1540023,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1540025,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,64.00,Installed
VM-1543064,PoweredOn,Need Attention,Powered Off,Debian GNU/Linux 6,1 Feb 2016,64-bit,1,0.25,Installed
VM-1545961,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,2.00,Installed
VM-1551662,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-603021_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-414310_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-515887_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-515886_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,16.00,Installed
VM-603018_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-515888_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1205705_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-515883_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,16.00,Installed
VM-475540_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-446044_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,2.00,Installed
VM-473751_replica,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1590939,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1590940,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1594097,PoweredOn,Noteworthy,Powered On,Ubuntu Linux,,64-bit,2,2.00,Installed
VM-160780,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,8.00,Installed
VM-160783,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1630754,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-163498,PoweredOn,Need Attention,Powered Off,Windows Server 2008,14 Jan 2020,32-bit,2,4.00,Installed
VM-163500,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,16.00,Installed
VM-1641542,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,6.00,Installed
VM-1647888,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,32.00,Installed
VM-1659314,PoweredOn,Need Attention,Powered Off,Oracle Solaris 10,1 Jan 2021,64-bit,2,2.00,Installed
VM-167581,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,22.00,Installed
VM-167582,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,10,40.00,Installed
VM-169416,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,3,6.00,Installed
VM-1699163,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1699960,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1714904,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,1,8.00,Installed
VM-1721307,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1721309,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1721311,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,8.00,Installed
VM-1721460,PoweredOn,Normal,Powered Off,Ubuntu Linux,,64-bit,1,4.00,Installed
VM-1726022,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1746557,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1746558,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-175067,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,22.00,Installed
VM-1764253,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,16.00,Installed
VM-1764255,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-177781,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,6,32.00,Installed
VM-1780934,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,12,24.00,Installed
VM-1780998,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1780999,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1787982,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1791440,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1800797,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1800798,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1817265,PoweredOn,Need Attention,Powered Off,Oracle Solaris 10,1 Jan 2021,64-bit,2,2.00,Installed
VM-1818686,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1818689,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1818776,"",Need Attention,Powered Off,Oracle Solaris 10,1 Jan 2021,64-bit,2,2.00,Installed
VM-1820913,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1820994,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,16.00,Installed
VM-1821086,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1827613,PoweredOn,Normal,Powered Off,Other Linux,,64-bit,4,8.00,Installed
VM-182879,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1831092,"",Need Attention,Powered Off,Oracle Solaris 10,1 Jan 2021,64-bit,2,2.00,Installed
VM-1831094,PoweredOn,Need Attention,Powered Off,Oracle Solaris 10,1 Jan 2021,64-bit,2,2.00,Installed
VM-183410,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,10.00,Installed
VM-1851743,PoweredOn,Normal,Powered Off,Other Linux,,64-bit,4,8.00,Installed
VM-186812,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,3,10.00,Installed
VM-122719_replica,Hadoop;PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,22.00,Installed
VM-1880064,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,8.00,Installed
